Name;Self CPU in %;Self CPU in us;CPU total %;CPU total in us;CPU time avg in us;Self CUDA in us;Self CUDA %;CUDA total in us;CUDA time avg in us;CPU Mem in bytes;Self CPU Mem in bytes;CUDA Mem in bytes;Self CUDA Mem in bytes;# of Calls;GFLOPS
cudaMemcpyAsync;34,61%;1257000;34,61%;1257000;2205;0,000;0,00%;0,000;0,000;0;0;0;0;570;0
ProfilerStep*;10,43%;378610;95,75%;3476000;579401;1276;0,05%;1306000;217716;-24;-337030000;99590000000;-13680000000;6;0
aten::empty;7,35%;266954;7,35%;266954;48,839;0,000;0,00%;0,000;0,000;312160000;312160000;178730000000;178730000000;5466;0
aten::as_strided;2,88%;104543;2,88%;104543;36,452;0,000;0,00%;0,000;0,000;0;0;0;0;2868;0
aten::mul;2,79%;101276;4,36%;158296;136,698;455649;17,52%;455649;393,479;0;0;130240000000;0;1158;76,443
aten::fill_;2,54%;92349;2,83%;102858;106,478;34246;1,32%;34246;35,451;0;0;0;0;966;0
cudaLaunchKernel;2,25%;81606;2,25%;81606;10,211;0,000;0,00%;0,000;0,000;0;0;0;0;7992;0
aten::view;1,85%;67201;1,85%;67201;78,874;0,000;0,00%;0,000;0,000;0;0;0;0;852;0
aten::copy_;1,75%;63644;27,84%;1011000;1257;67439;2,59%;67439;83,879;0;0;0;0;804;0
aten::empty_strided;1,59%;57885;1,59%;57885;68,911;0,000;0,00%;0,000;0,000;23830000;23830000;4240000000;4240000000;840;0
aten::resize_;1,53%;55625;1,53%;55625;64,831;0,000;0,00%;0,000;0,000;1040000;1040000;1850000000;1850000000;858;0
aten::sum;1,51%;54868;3,45%;125304;348,067;55658;2,14%;55919;155,331;0;0;162840000;-149320000;360;0
aten::slice;1,50%;54284;2,17%;78799;105,913;0,000;0,00%;0,000;0,000;0;0;0;0;744;0
aten::to;1,40%;50705;29,98%;1089000;1243;0,000;0,00%;65997;75,339;23830000;0;619350000;0;876;0
aten::unsqueeze;1,32%;47892;1,91%;69411;131,460;0,000;0,00%;0,000;0,000;0;0;0;0;528;0
aten::zero_;1,26%;45790;4,06%;147318;152,503;0,000;0,00%;34239;35,444;0;0;0;0;966;0
aten::clamp;1,09%;39500;3,49%;126877;293,697;0,000;0,00%;394,000;0,912;0;0;279070000;0;432;0
aten::arange;1,05%;38299;3,12%;113245;224,692;535,000;0,02%;1070;2,123;0;0;661750000;0;504;0
aten::pow;1,04%;37919;3,23%;117438;543,694;252,000;0,01%;252,000;1,167;0;0;139540000;0;216;0
aten::zeros;1,01%;36673;5,31%;192795;232,844;0,000;0,00%;34180;41,280;310080000;0;21610000000;0;828;0
aten::add;0,96%;34864;1,03%;37371;148,298;37233;1,43%;37233;147,750;0;0;8480000000;8480000000;252;60,944
aten::add_;0,95%;34608;1,03%;37574;94,884;66991;2,58%;66991;169,169;0;0;0;0;396;0
aten::_local_scalar_dense;0,89%;32257;9,64%;350038;1296;145,000;0,01%;145,000;0,537;0;0;0;0;270;0
GSpMM;0,88%;31831;2,60%;94321;436,671;594279;22,85%;625149;2894;0;0;18910000000;-1530000000;216;0
aten::result_type;0,75%;27328;0,75%;27328;63,259;0,000;0,00%;0,000;0,000;0;0;0;0;432;0
aten::set_;0,73%;26596;0,73%;26596;65,186;0,000;0,00%;0,000;0,000;0;0;0;0;408;0
aten::empty_like;0,69%;25071;1,49%;54090;101,292;0,000;0,00%;0,000;0,000;0;0;12000000000;0;534;0
aten::select;0,66%;23887;0,94%;34143;129,330;0,000;0,00%;0,000;0,000;0;0;0;0;264;0
aten::reshape;0,60%;21898;1,50%;54421;100,780;0,000;0,00%;0,000;0,000;0;0;0;0;540;0
aten::min;0,55%;19801;1,72%;62383;577,620;739,000;0,03%;739,000;6,843;0;0;108000;0;108;0
aten::mul_;0,47%;17226;0,50%;18324;132,783;86,000;0,00%;86,000;0,623;0;0;0;0;138;0
aten::sqrt;0,47%;17117;0,73%;26640;193,043;78,000;0,00%;78,000;0,565;0;0;5520000;0;138;0
aten::item;0,47%;16889;10,11%;366927;1359;0,000;0,00%;145,000;0,537;0;0;0;0;270;0
aten::mm;0,45%;16231;0,69%;25156;190,576;150477;5,78%;150477;1140;0;0;12290000000;0;132;11671,341
aten::addcdiv_;0,44%;16082;0,72%;26001;188,413;0,000;0,00%;113,000;0,819;0;0;0;0;138;0
aten::addcmul_;0,44%;16019;0,71%;25894;187,638;0,000;0,00%;87,000;0,630;0;0;0;0;138;0
aten::index;0,44%;15813;1,40%;50812;423,433;2147;0,08%;2213;18,442;0;0;478310000;-4170000;120;0
aten::clamp_min;0,42%;15165;0,85%;30949;143,282;197,000;0,01%;197,000;0,912;0;0;139540000;0;216;0
EdgeSoftmax;0,41%;15067;2,45%;89108;2475;128416;4,94%;130577;3627;0;0;365470000;-802830000;36;0
aten::lt;0,40%;14640;0,90%;32752;1365;4,000;0,00%;8,000;0,333;1040000;-24;6000;0;24;0
aten::is_floating_point;0,36%;13188;0,36%;13188;59,405;0,000;0,00%;0,000;0,000;0;0;0;0;222;0
aten::can_cast;0,31%;11344;0,31%;11344;52,519;0,000;0,00%;0,000;0,000;0;0;0;0;216;0
aten::leaky_relu;0,31%;11098;0,47%;16941;235,292;1181;0,05%;1181;16,403;0;0;444230000;0;72;0
aten::t;0,30%;10752;0,60%;21621;100,097;0,000;0,00%;0,000;0,000;0;0;0;0;216;0
GSDDMM;0,29%;10539;0,87%;31533;291,972;153583;5,90%;154989;1435;0;0;1010000000;0;108;0
aten::dropout;0,27%;9979;0,91%;33205;230,590;0,000;0,00%;12010;83,403;0;0;3330000000;-168000000;144;0
aten::bitwise_not;0,26%;9560;0,54%;19650;1637;0,000;0,00%;0,000;0,000;1040000;0;0;0;12;0
aten::addcdiv;0,24%;8837;0,27%;9919;71,877;113,000;0,00%;113,000;0,819;0;0;0;0;138;0
aten::addcmul;0,24%;8815;0,27%;9875;71,558;87,000;0,00%;87,000;0,630;0;0;0;0;138;0
aten::_fused_dropout;0,22%;8134;0,64%;23226;430,111;12010;0,46%;12010;222,407;0;0;3500000000;0;54;0
aten::eq;0,21%;7531;0,50%;18009;250,125;50,000;0,00%;100,000;1,389;0;0;11640000;0;72;0
