Name;Self CPU in %;Self CPU in us;CPU total %;CPU total in us;CPU time avg in us;Self CUDA in us;Self CUDA %;CUDA total in us;CUDA time avg in us;CPU Mem in bytes;Self CPU Mem in bytes;CUDA Mem in bytes;Self CUDA Mem in bytes;# of Calls;GFLOPS
cudaMemcpy;32,43%;2351000;32,43%;2351000;21768;0,000;0,00%;0,000;0,000;0;0;0;0;108;0
ProfilerStep*;32,08%;2326000;69,47%;5036000;839404;559,000;0,01%;2214000;368918;-24;-26430000;109450000000;-27480000000;6;0
cudaMemcpyAsync;22,84%;1656000;22,84%;1656000;8903;0,000;0,00%;0,000;0,000;0;0;0;0;186;0
aten::empty;1,81%;131412;1,81%;131412;49,777;0,000;0,00%;0,000;0,000;2080000;2080000;194500000000;194500000000;2640;0
cudaLaunchKernel;0,53%;38558;0,53%;38558;11,294;0,000;0,00%;0,000;0,000;0;0;0;0;3414;0
aten::zero_;0,42%;30674;0,86%;62494;128,588;0,000;0,00%;37901;77,986;0;0;0;0;486;0
aten::as_strided;0,42%;30340;0,42%;30340;37,181;0,000;0,00%;0,000;0,000;0;0;0;0;816;0
aten::view;0,38%;27435;0,38%;27435;69,280;0,000;0,00%;0,000;0,000;0;0;0;0;396;0
aten::fill_;0,37%;27137;0,44%;32250;68,038;37902;0,81%;37902;79,962;0;0;0;0;474;0
cudaStreamSynchronize;0,34%;24308;0,34%;24308;126,604;0,000;0,00%;0,000;0,000;0;0;0;0;192;0
aten::zeros;0,33%;24088;1,26%;91422;238,078;0,000;0,00%;37839;98,539;72;0;23370000000;0;384;0
aten::empty_strided;0,33%;23672;0,33%;23672;66,870;0,000;0,00%;0,000;0,000;23830000;23830000;8670000000;8670000000;354;0
aten::copy_;0,32%;23416;3,38%;245228;1168;3847;0,08%;3847;18,319;0;0;0;0;210;0
aten::resize_;0,32%;23362;0,32%;23362;63,831;0,000;0,00%;0,000;0,000;532860;532860;208190000;208190000;366;0
aten::mul;0,32%;22978;0,50%;36233;131,279;296098;6,30%;296098;1073;0;0;88260000000;0;276;80,013
aten::to;0,30%;21978;3,87%;280479;719,177;0,000;0,00%;3843;9,854;23830000;0;123250000;0;390;0
aten::arange;0,24%;17141;0,70%;50916;235,722;245,000;0,01%;490,000;2,269;0;0;283610000;0;216;0
aten::mm;0,22%;16131;0,34%;24673;186,917;834523;17,74%;834523;6322;0;0;36740000000;0;132;14721,650
aten::sum;0,22%;15851;0,51%;36943;342,065;46680;0,99%;46762;432,981;0;0;147550000;-70400000;108;0
aten::add_;0,20%;14630;0,22%;16148;79,157;297,000;0,01%;297,000;1,456;0;0;0;0;204;0
EdgeSoftmax;0,20%;14498;1,19%;86092;2391;194090;4,13%;201148;5587;0;0;1010000000;-2290000000;36;0
aten::_local_scalar_dense;0,20%;14421;20,02%;1451000;11516;64,000;0,00%;64,000;0,508;0;0;0;0;126;0
aten::lt;0,20%;14416;0,45%;32281;1345;3,000;0,00%;6,000;0,250;1040000;-24;6000;0;24;0
GSpMM;0,20%;14379;33,00%;2392000;22149;951795;20,24%;982708;9099;0;0;18910000000;0;108;0
aten::index;0,19%;13535;0,56%;40843;400,422;2150;0,05%;2190;21,471;0;0;459370000;-2080000;102;0
