Name;Self CPU in %;Self CPU in us;CPU total %;CPU total in us;CPU time avg in us;Self CUDA in us;Self CUDA %;CUDA total in us;CUDA time avg in us;CPU Mem in bytes;Self CPU Mem in bytes;CUDA Mem in bytes;Self CUDA Mem in bytes;# of Calls;GFLOPS
aten::select;34,88%;28392000;67,38%;54845000;100,502;0,000;0,00%;0,000;0,000;0;0;0;0;545718;0
aten::as_strided;32,61%;26546000;32,61%;26546000;48,470;0,000;0,00%;0,000;0,000;0;0;0;0;547680;0
ProfilerStep*;11,29%;9188000;91,60%;74561000;12427000;1148;0,01%;5501000;916767;120;-1180000000;333090000000;37400000000;6;0
cudaMemcpy;8,47%;6898000;8,47%;6898000;27371;0,000;0,00%;0,000;0,000;0;0;0;0;252;0
cudaMemcpyAsync;4,73%;3853000;4,73%;3853000;9729;0,000;0,00%;0,000;0,000;0;0;0;0;396;0
aten::unbind;2,95%;2402000;70,31%;57230000;9538000;0,000;0,00%;0,000;0,000;0;0;0;0;6;0
aten::uniform_;1,09%;889334;1,09%;889334;74111;0,000;0,00%;0,000;0,000;0;0;0;0;12;0
cudaStreamSynchronize;0,73%;591684;0,73%;591684;1429;0,000;0,00%;0,000;0,000;0;0;0;0;414;0
aten::empty;0,60%;491722;0,60%;491722;81,142;0,000;0,00%;0,000;0,000;1150000000;1150000000;475820000000;475820000000;6060;0
aten::fill_;0,17%;134902;0,18%;147572;143,832;88403;0,66%;88403;86,163;0;0;0;0;1026;0
cudaLaunchKernel;0,12%;94351;0,12%;94351;12,837;0,000;0,00%;0,000;0,000;0;0;0;0;7350;0
aten::view;0,11%;91466;0,11%;91466;92,390;0,000;0,00%;0,000;0,000;0;0;0;0;990;0
aten::to;0,10%;84982;1,47%;1197000;1322;0,000;0,00%;221096;244,035;23830000;0;1370000000;0;906;0
aten::copy_;0,10%;80219;1,32%;1073000;2293;224509;1,68%;224509;479,720;0;0;0;0;468;0
aten::empty_strided;0,10%;80055;0,10%;80055;98,107;0,000;0,00%;0,000;0,000;23830000;23830000;28020000000;28020000000;816;0
aten::zero_;0,10%;79532;0,27%;221215;223,449;0,000;0,00%;88377;89,270;0;0;0;0;990;0
aten::zeros;0,09%;77160;0,42%;342168;385,324;0,000;0,00%;88305;99,443;620150000;0;54240000000;0;888;0
aten::mul;0,09%;75216;0,14%;114826;162,184;711400;5,33%;711400;1005;0;0;216120000000;0;708;81,549
aten::resize_;0,09%;73898;0,09%;73898;98,531;0,000;0,00%;0,000;0,000;1040000;1040000;4430000000;4430000000;750;0
aten::arange;0,06%;52057;0,19%;152098;352,079;498,000;0,00%;996,000;2,306;0;0;567210000;0;432;0
aten::mm;0,06%;50118;0,09%;74920;208,111;2348000;17,59%;2348000;6523;0;0;88950000000;0;360;14035,780
aten::sum;0,06%;47587;0,14%;112874;522,565;93550;0,70%;93737;433,968;0;0;302080000;-117070000;216;0
GSpMM;0,05%;44237;8,63%;7027000;24401;2330000;17,45%;2403000;8344;0;0;44180000000;0;288;0
aten::empty_like;0,05%;43691;0,11%;91382;124,839;0,000;0,00%;0,000;0,000;0;0;88130000000;0;732;0
aten::add;0,05%;43503;0,06%;46499;221,424;148425;1,11%;148425;706,786;0;0;28630000000;28630000000;210;51,775
aten::reshape;0,05%;41782;0,11%;88584;126,188;0,000;0,00%;0,000;0,000;0;0;0;0;702;0
aten::clamp;0,05%;40065;0,15%;121644;422,375;0,000;0,00%;318,000;1,104;0;0;186050000;0;288;0
aten::index;0,05%;39874;0,15%;120796;575,219;15730;0,12%;15846;75,457;0;0;4010000000;-4170000;210;0
aten::set_;0,05%;39518;0,05%;39518;106,231;0,000;0,00%;0,000;0,000;0;0;0;0;372;0
aten::_local_scalar_dense;0,05%;38519;4,28%;3484000;14888;153,000;0,00%;153,000;0,654;0;0;0;0;234;0
EdgeSoftmax;0,05%;38188;0,32%;257139;3571;399805;2,99%;413993;5750;0;0;2010000000;-4570000000;72;0
aten::t;0,04%;31177;0,07%;60600;103,061;0,000;0,00%;0,000;0,000;0;0;0;0;588;0
aten::pow;0,04%;30152;0,13%;109441;760,007;201,000;0,00%;201,000;1,396;0;0;93020000;0;144;0
aten::unsqueeze;0,03%;26180;0,05%;36856;136,504;0,000;0,00%;0,000;0,000;0;0;0;0;270;0
aten::add_;0,03%;26155;0,04%;29648;70,590;6058;0,05%;6058;14,424;0;0;0;0;420;0
aten::result_type;0,03%;25784;0,03%;25784;89,528;0,000;0,00%;0,000;0,000;0;0;0;0;288;0
GSDDMM;0,03%;24538;0,09%;73831;410,172;498723;3,73%;506596;2814;0;0;5030000000;0;180;0
aten::dropout;0,03%;24094;0,11%;91962;425,750;0,000;0,00%;91294;422,657;0;0;26080000000;0;216;0
aten::_fused_dropout;0,03%;23133;0,08%;67868;628,407;91294;0,68%;91294;845,315;0;0;26080000000;0;108;0
aten::eq;0,03%;22751;0,07%;52919;367,493;108,000;0,00%;216,000;1,500;0;0;23270000;0;144;0
aten::item;0,03%;22394;4,31%;3506000;14984;0,000;0,00%;153,000;0,654;0;0;0;0;234;0
aten::mul_;0,03%;20923;0,03%;22054;204,204;1872;0,01%;1872;17,333;0;0;0;0;108;0
aten::sqrt;0,02%;19997;0,04%;30326;297,314;93,000;0,00%;93,000;0,912;0;0;40870000;0;102;0
aten::min;0,02%;19863;0,08%;65181;905,292;552,000;0,00%;552,000;7,667;0;0;72000;0;72;0
aten::addcmul_;0,02%;19137;0,04%;29611;290,304;0,000;0,00%;163,000;1,598;0;0;0;0;102;0
aten::addcdiv_;0,02%;19008;0,04%;29323;287,480;0,000;0,00%;247,000;2,422;0;0;0;0;102;0
aten::any;0,02%;16601;0,05%;37985;527,569;394,000;0,00%;394,000;5,472;0;0;36000;0;72;0
aten::linear;0,02%;16436;0,17%;135491;940,910;0,000;0,00%;981527;6816;0;0;50150000000;0;144;0
aten::transpose;0,02%;16125;0,04%;29423;50,039;0,000;0,00%;0,000;0,000;0;0;0;0;588;0
aten::leaky_relu;0,02%;15790;0,03%;23631;328,208;6976;0,05%;6976;96,889;0;0;2010000000;0;72;0
aten::matmul;0,02%;15423;0,09%;69628;483,528;0,000;0,00%;981527;6816;0;0;50150000000;0;144;0
aten::is_floating_point;0,02%;14612;0,02%;14612;97,413;0,000;0,00%;0,000;0,000;0;0;0;0;150;0
aten::clamp_min;0,02%;14172;0,03%;28343;196,826;159,000;0,00%;159,000;1,104;0;0;93020000;0;144;0
aten::exp;0,02%;14130;0,03%;21412;297,389;7024;0,05%;7024;97,556;0;0;2010000000;0;72;0
aten::can_cast;0,01%;12173;0,01%;12173;84,535;0,000;0,00%;0,000;0,000;0;0;0;0;144;0
aten::mean;0,01%;11960;0,03%;22059;367,650;4590;0,03%;4590;76,500;0;0;620170000;0;60;0
aten::lt;0,01%;10121;0,03%;26111;1088;5,000;0,00%;10,000;0,417;1040000;-24;6000;0;24;0
aten::_index_put_impl_;0,01%;9986;0,05%;44681;620,569;9477;0,07%;9565;132,847;0;0;0;-25030000;72;0
aten::index_put_;0,01%;9719;0,04%;33866;627,148;0,000;0,00%;7660;141,852;0;0;0;0;54;0
aten::addcmul;0,01%;9522;0,01%;10474;102,686;163,000;0,00%;163,000;1,598;0;0;0;0;102;0
aten::addcdiv;0,01%;9363;0,01%;10315;101,127;247,000;0,00%;247,000;2,422;0;0;0;0;102;0
aten::native_batch_norm;0,01%;9081;0,04%;32718;908,833;1782000;13,34%;1782000;49493;0;0;17440000000;0;36;0
aten::relu;0,01%;8668;0,02%;17927;373,479;0,000;0,00%;82929;1728;0;0;23260000000;0;48;0
aten::sub;0,01%;8310;0,02%;12966;144,067;7830;0,06%;7830;87,000;0;0;1520000000;0;90;0
aten::detach;0,01%;8232;0,02%;15012;156,375;0,000;0,00%;0,000;0,000;0;0;0;0;96;0
aten::slice;0,01%;8087;0,01%;11602;138,119;0,000;0,00%;0,000;0,000;0;0;0;0;84;0
aten::is_nonzero;0,01%;7307;3,85%;3131000;40142;0,000;0,00%;57,000;0,731;0;0;0;0;78;0
Optimizer.step#RMSprop.step;0,01%;7300;0,17%;138535;23089;0,000;0,00%;739,000;123,167;-24;-120;0;-40870000;6;0
detach;0,01%;6780;0,01%;6780;70,625;0,000;0,00%;0,000;0,000;0;0;0;0;96;0
aten::sign;0,01%;6653;0,02%;16606;345,958;5325;0,04%;10650;221,875;0;0;2980000000;0;48;0
aten::nll_loss_forward;0,01%;6505;0,01%;7003;194,528;268,000;0,00%;268,000;7,444;0;0;7010000;7010000;36;0
GSpMMBackward;0,01%;6449;8,16%;6644000;123046;0,000;0,00%;1360000;25183;0;-432;20310000000;0;54;0
aten::log;0,01%;6247;0,01%;9656;268,222;33,000;0,00%;33,000;0,917;0;0;7010000;0;36;0
aten::_log_softmax;0,01%;5953;0,02%;12267;340,750;967,000;0,01%;967,000;26,861;0;0;280090000;0;36;0
aten::bitwise_not;0,01%;5413;0,01%;11770;980,833;0,000;0,00%;0,000;0,000;1040000;0;0;0;12;0
aten::batch_norm;0,01%;5319;0,07%;53421;1113;0,000;0,00%;1807000;37644;0;0;23260000000;0;48;0
cudaMemsetAsync;0,01%;5317;0,01%;5317;11,361;0,000;0,00%;0,000;0,000;0;0;0;0;468;0
aten::flatten;0,01%;5092;0,02%;13666;284,708;0,000;0,00%;0,000;0,000;0;0;0;0;48;0
aten::_batch_norm_impl_index;0,01%;4830;0,06%;48102;1002;0,000;0,00%;1807000;37644;0;0;23260000000;0;48;0
aten::cat;0,01%;4792;0,02%;12635;526,458;0,000;0,00%;14245;593,542;0;0;2540000000;0;24;0
aten::threshold;0,01%;4641;0,01%;9259;192,896;82929;0,62%;82929;1728;0;0;23260000000;0;48;0
aten::argmax;0,01%;4311;0,01%;8126;338,583;1673;0,01%;1673;69,708;0;0;11920000;0;24;0
GSDDMMBackward;0,01%;4255;0,04%;31660;586,296;0,000;0,00%;201958;3740;0;-432;209300000;0;54;0
aten::expand;0,00%;3781;0,01%;4884;31,308;0,000;0,00%;0,000;0,000;0;0;0;0;156;0
aten::scalar_tensor;0,00%;3743;0,01%;10900;302,778;0,000;0,00%;19,000;0,528;0;0;18000;0;36;0
aten::conj;0,00%;3505;0,00%;3505;6,085;0,000;0,00%;0,000;0,000;0;0;0;0;576;0
aten::div_;0,00%;3351;0,00%;3594;199,667;13,000;0,00%;13,000;0,722;0;0;0;0;18;0
aten::nll_loss;0,00%;3286;0,01%;10289;285,806;0,000;0,00%;268,000;7,444;0;0;7010000;0;36;0
MulBackward0;0,00%;3153;0,03%;21407;99,106;0,000;0,00%;340068;1574;0;0;112830000000;0;216;0
aten::nonzero;0,00%;3132;0,01%;11024;918,667;116,000;0,00%;116,000;9,667;0;0;4170000;0;12;0
MmBackward;0,00%;3124;0,04%;30942;286,500;0,000;0,00%;1367000;12656;0;0;38810000000;0;108;0
aten::log_softmax;0,00%;3112;0,02%;15379;427,194;0,000;0,00%;967,000;26,861;0;0;280090000;0;36;0
EdgeSoftmaxBackward;0,00%;2991;0,04%;33198;614,778;0,000;0,00%;130920;2424;0;0;1510000000;-3120000000;54;0
aten::div;0,00%;2975;0,01%;5412;75,167;3625;0,03%;3625;50,347;0;0;1370000000;0;72;0
aten::_cat;0,00%;2955;0,01%;7843;326,792;14245;0,11%;14245;593,542;0;0;2540000000;0;24;0
aten::_masked_scale;0,00%;2851;0,01%;6060;56,111;83002;0,62%;83002;768,537;0;0;20860000000;0;108;0
aten::cudnn_batch_norm;0,00%;2680;0,01%;7656;638,000;25170;0,19%;25170;2098;0;0;5810000000;0;12;0
torch::autograd::AccumulateGrad;0,00%;2229;0,01%;11763;36,306;0,000;0,00%;7789;24,040;0;0;496120000;0;324;0
aten::ones_like;0,00%;1810;0,01%;6957;386,500;0,000;0,00%;7,000;0,389;0;0;9000;0;18;0
aten::native_batch_norm_backward;0,00%;1602;0,01%;4712;130,889;3894000;29,16%;3894000;108160;0;0;17440000000;0;36;0
